year,N
92,15
92,3
92,5
92,4
92,2
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,1
92,3
92,1
92,1
92,1
92,1
92,3
92,1
92,4
92,4
92,1
92,6
92,4
92,4
92,4
92,5
92,7
92,12
92,10
92,14
92,10
92,17
92,17
92,11
92,9
92,8
92,2
92,8
92,1
92,3
92,1
92,1
92,2
92,1
92,1
92,2
92,4
92,3
92,6
92,2
92,8
92,6
92,9
92,2
92,8
92,2
92,5
92,1
92,2
92,2
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,3
92,3
92,6
92,6
92,2
92,2
92,1
92,4
92,2
92,2
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,2
92,4
92,4
92,5
92,6
92,7
92,4
92,5
92,3
92,1
92,2
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,5
92,1
92,1
92,3
92,3
92,1
92,3
92,1
92,3
92,2
92,2
92,2
92,1
92,1
92,2
92,2
92,3
92,2
92,4
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,2
92,3
92,2
92,3
92,2
92,2
92,1
92,2
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,5
92,1
92,2
92,2
92,8
92,7
92,3
92,2
92,6
92,2
92,8
92,11
92,12
92,11
92,19
92,28
92,30
92,25
92,25
92,25
92,17
92,19
92,13
92,7
92,3
92,1
92,1
92,3
92,2
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,2
92,5
92,7
92,5
92,8
92,14
92,15
92,23
92,9
92,14
92,14
92,27
92,18
92,25
92,18
92,33
92,17
92,33
92,20
92,34
92,11
92,18
92,2
92,9
92,2
92,1
92,2
92,1
92,1
92,2
92,2
92,4
92,4
92,4
92,4
92,6
92,7
92,13
92,15
92,5
92,11
92,7
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,3
92,2
92,7
92,5
92,4
92,8
92,6
92,9
92,5
92,10
92,9
92,18
92,11
92,19
92,12
92,9
92,7
92,6
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,6
92,2
92,6
92,1
92,6
92,1
92,9
92,4
92,10
92,5
92,11
92,10
92,16
92,15
92,16
92,15
92,10
92,1
92,4
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,6
92,1
92,6
92,5
92,10
92,2
92,8
92,3
92,2
92,2
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,1
92,2
92,2
92,1
92,3
92,1
92,1
92,2
92,6
92,5
92,1
92,1
92,3
92,1
92,2
92,1
92,3
92,3
92,1
92,2
92,1
92,6
92,1
92,5
92,3
92,2
92,2
92,7
92,5
92,4
92,7
92,2
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,4
92,2
92,3
92,2
92,2
92,4
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,4
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,3
92,1
92,7
92,1
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,1
92,2
92,1
92,2
92,1
92,2
92,3
92,2
92,2
92,1
92,1
92,4
92,4
92,2
92,5
92,2
92,1
92,5
92,9
92,4
92,2
92,9
92,6
92,11
92,8
92,14
92,39
92,20
92,21
92,35
92,21
92,17
92,5
92,8
92,2
92,2
92,1
92,1
92,2
92,2
92,5
92,3
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,2
92,6
92,5
92,4
92,12
92,7
92,18
92,16
92,13
92,9
92,12
92,15
92,13
92,12
92,13
92,30
92,45
92,14
92,15
92,39
92,16
92,31
92,3
92,9
